,sentiment,tweet
1,0,is upset that he cant update his facebook by texting it and might cry as a result school today also blah
2,0,kenichan i dived many times for the ball managed to save the rest go out of bounds
3,0,my whole body feels itchy and like its on fire 
4,0,nationwideclass no its not behaving at all im mad why am i here because i cant see you all over there 
5,0,kwesidei not the whole crew 
6,0,need a hug 
7,0,loltrish hey long time no see yes rains a bit only a bit lol im fine thanks hows you 
8,0,tatianak nope they didnt have it 
9,0,twittera que me muera 
10,0,spring break in plain city its snowing 
11,0,i just repierced my ears 
12,0,caregiving i couldnt bear to watch it and i thought the ua loss was embarrassing 
13,0,octolinz it it counts idk why i did either you never talk to me anymore 
14,0,smarrison i wouldve been the first but i didnt have a gun not really though zac snyders just a doucheclown
15,0,iamjazzyfizzle i wish i got to watch it with you i miss you and iamlilnicki how was the premiere
16,0,hollis death scene will hurt me severely to watch on film wry is directors cut not out now
17,0,about to file taxes 
18,0,lettya ahh ive always wanted to see rent love the soundtrack
19,0,fakerpattypattz oh dear were you drinking out of the forgotten table drinks 
20,0,alydesigns i was out most of the day so didnt get much done 
21,0,one of my friend called me and asked to meet with her at mid valley todaybut ive no time sigh 
22,0,angrybarista i baked you a cake but i ated it 
23,0,this week is not going as i had hoped 
24,0,blagh class at tomorrow 
25,0,i hate when i have to call and wake people up 
26,0,just going to cry myself to sleep after watching marley and me 
27,0,im sad now misslilly
28,0,ooooh lol that leslie and ok i wont do it again so leslie wont get mad again 
29,0,meh almost lover is the exception this track gets me depressed every time 
30,0,some hacked my account on aim now i have to make a new one
31,0,alielayus i want to go to promote gear and groove but unfornately no ride there i may b going to the one in anaheim in may though
32,0,thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon 
33,0,julieebaby awe i love you too am here i miss you
34,0,humpninja i cry my asian eyes to sleep at night 
35,0,ok im sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now 
36,0,cocomix ill tell ya the story later not a good day and ill be workin for like three more hours
37,0,missxu sorry bed time came here gmt httpisgdfnge
38,0,fleurylis i dont either its depressing i dont think i even want to know about the kids in suitcases 
39,0,bed class work gym or then class another day thats gonna fly by i miss my girlfriend 
40,0,really dont feel like getting up today but got to study to for tomorrows practical exam 
41,0,hes the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
42,0,sad sad sad i dont know why but i hate this feeling i wanna sleep and i still cant
43,0,jonathanrknight awww i soo wish i was there to see you finally comfortable im sad that i missed it 
44,0,falling asleep just heard about that tracy girls body being found how sad my heart breaks for that family
45,0,viennah yay im happy for you with your job but that also means less time for me and you 
46,0,just checked my user timeline on my blackberry it looks like the twanking is still happening are ppl still having probs w bgs and uids
47,0,oh manwas ironing jeancjumbes fave top to wear to a meeting burnt it 
48,0,is strangely sad about lilo and samro breaking up 
49,0,tea oh im so sorry i didnt think about that before retweeting
50,0,broadband plan a massive broken promise httptinyurlcomdcuc via wwwdiigocomtautao still waiting for broadband we are 
51,0,localtweeps wow tons of replies from you may have to unfollow so i can see my friends tweets youre scrolling the feed a lot 
52,0,our duck and chicken are taking wayyy too long to hatch 
53,0,put vacation photos online a few yrs ago pc crashed and now i forget the name of the site 
54,0,i need a hug 
55,0,andywana not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy 
56,0,oanhlove i hate when that happens 
57,0,i have a sad feeling that dallas is not going to show up i gotta say though youd think more shows would use music from the game mmm
58,0,ugh degrees tomorrow 
59,0,where did u move to i thought u were already in sd hmmm random u found me glad to hear yer doing well
60,0,batmanyng i miss my ps its out of commission wutcha playing have you copped blood on the sand
61,0,just leaving the parking lot of work 
62,0,the life is cool but not for me 
63,0,sadly though ive never gotten to experience the post coitus cigarette before and now i never will 
64,0,i had such a nice day too bad the rain comes in tomorrow at am 
65,0,starrbby too bad i wont be around i lost my job and cant even pay my phone bill lmao aw shucks 
66,0,damm back to school tomorrow 
67,0,mo jobs no money how in the hell is min wage here fn clams an hour
68,0,katortiz not forever see you soon
69,0,ltalgonquin agreed i saw the failwhale allllll day today 
70,0,jdarter oh haha dude i dont really look at em unless someone says hey i added you sorry im so terrible at that i need a pop up
71,0,ninjen im sure youre right i need to start working out with you and the nikster or jared at least
72,0,i really hate how people diss my bands trace is clearly not ugly
73,0,gym attire today was puma singlet adidas shortsand black business socks and leather shoes lucky did not run into any cute girls
74,0,why wont you show my location httptwitpiccomyes
75,0,no picnic my phone smells like citrus
76,0,ashleyac my donkey is sensitive about such comments nevertheless hed and med be glad to see your mug asap charger is still awol 
77,0,no new csi tonight fml
78,0,i think my arms are sore from tennis 
79,0,wonders why someone that u like so much can make you so unhappy in a split seccond depressed 
80,0,sleep soon i just hate saying bye and see you tomorrow for the night 
81,0,statravelau just got ur newsletter those fares really are unbelievable shame i already booked and paid for mine 
82,0,missin the boo 
83,0,markhardy me too itm
84,0,damn i dont have any chalk my chalkboard is useless 
85,0,had a blast at the getty villa but hates that shes had a sore throat all day its just getting worse too 
86,0,msdrama hey missed ya at the meeting sup mama
87,0,my tummy hurts i wonder if the hypnosis has anything to do with it if so its working i get it stop smoking
88,0,why is it always the fat ones 
89,0,januarycrimson sorry babe my fam annoys me too thankfully theyre asleep right now muahaha evil laugh
90,0,hollywoodheat i should have paid more attention when we covered photoshop in my webpage design class in undergrad 
91,0,wednesday my bday dont know what do 
92,0,poor cameron the hills 
93,0,pray for me please the ex is threatening to start sh at myour babies st birthday party what a jerk and i still have a headache 
94,0,makeherfamous hmm do u really enjoy being with him if the problems are too constants u should think things more find someone ulike
95,0,strider is a sick little puppy httpappsfacebookcomdogbookprofileview
96,0,so ryleegracewana go steves party or not sadly since its easter i wnt b able do much but ohh well
97,0,hey i actually won one of my bracket pools too bad it wasnt the one for money 
98,0,stark you dont follow me either and i work for you
99,0,a bad nite for the favorite teams astros and spartans lose the nite out with tw was good
100,0, body of missing northern calif girl found police have found the remains of a missing northern california girl httptrimimji
101,0,mangaaa i hope they will increase the capacity fast yesterday was such a pain got the fail whale times in hours 
102,0,behind on my classes for work 
103,0,watching quothousequot 
104,0,kpreyes remember my bum leg strikes back this time its serious 
105,0,paradisej cool i will their are all kinds of complaints about this laptop online about overheating but no recalls 
106,0,emily will be glad when mommy is done training at her new job she misses her httpappsfacebookcomdogbookprofileview
107,0,would rather the first party send bad messages than the rd party send mixed ones sophmore year all over again
108,0,henkuyinepu its overrated 
109,0,marykatherineq i know i heard it this afternoon and wondered the same thing moscow is so behind the times 
110,0,laying in bed with no voice 
111,0,im sooo sad they killed off kutner on house whyyyyyyyy
112,0,jacobsummers sorry tell them mea culpa from me and that i really am sorry
113,0,alliana it didnt make any sense to me the suicide thing i refuse to believe that that is actually what happened 
114,0,salancaster hope your ok
115,0,mercedesashley damn the grind is inspirational and saddening at the same time dont want you to stop cuz i like what u do much love
116,0,hibanick yeah aw but i know i wudnt stand a chance 
117,0,ugh cant sleep its am 
118,0,hanging in crooners wanna sing cant sucks 
119,0,erresc aaw i miss ya all too im leaving to bh tomorrow quotmorningquot i think aww i wanna go to the beach w u girls 
120,0,is pissed off that theres no asbas for a radio station 
121,0,wednesday my bday n dont know what do 
122,0,i know my life has been flipped upside down when i just thought in my head that some ramen sounds good 
123,0,i am in pain my back and sides hurt not to mention crying is made of fail 
124,0,late night snack glass of oj bc im quotdown with the sicknessquot then back to sleepugh i hate getting sick 
125,0,allyheman but but but im not a big fan on camilla belle 
126,0,grum wah i cant see clip must be elstupido work filters cant wait till i get a puter something else blame ex he broke mine 
127,0,this week just seems to get longer and longer in terms of how much i need to do and how much im actually going to get done 
128,0,im so cold 
129,0,thecoolestout ehhh dont weathers gonna take a turn for the ugly tomorrow 
130,0,chelserlynn haha its so cooooold in the d and no but you should still go to the show they do some incredible stuff
131,0,hoping the tummy rumbles go away soon 
132,0,knights no no notice they told me id be working tomorrow and then i called the agency to follow up and they said it was over 
133,0,almost bedtime 
134,0,im missing you babe but as long as your alive im happy yawwwnn im tired my love imma try to sleep hopefully you had a headstart
135,0,aghsnow 
136,0,i miss kenny powers 
137,0,bridgetsbeaches thank you for letting people know but now im sad that the direct message i got wasnt actually from bridget 
138,0,and india missed out its th test victory n th consecutive win without a loss 
139,0,jonathanrknight i guess thats a no then 
140,0,sadly is going to bed 
141,0,ozesteph shame to hear this stephan 
142,0,mrsaintnick hey im leavin in the morning 
143,0,was intending to finish editing my page novel manuscript tonight but that will probably not happen and only pages are left 
144,0,laid around too much today now my head hurts 
145,0,twista i still havent read the thampth princess diaries saving francesca made me cry at the end hmm those are easy books
146,0,my nokia died 
147,0,my mom might have breast cancer wont find out anything for like a week im so worried 
148,0,going to sleep hoping tomorrow is a better day 
149,0,rumblepurr lol wish they understood daylight savings has ended though and breakfast is an hour later they keep waking the kids up too
150,0,onemoreproject that is lame 
151,0,i dont understand i really dont 
152,0,heroes just isnt doing it for me this season 
153,0,living not downtown sure isnt much fun 
154,0,jonathanchard not calorie wise i wish junk food was calorie free i ate a thing of sour skittles and a big ass cherry coke
155,0,man work is hard 
156,0,getting sick time for some hot tea studying and then sleeeep
157,0,getting eyebrows waxed more pain 
158,0,no phantasy star yesterday going to work
159,0,oh just got all my macheist apps sweet didnt get the espresso serial no though although they said they sent it oh well 
160,0,picked mich st to win it all from the get go was feeling pretty good about that pick all the way up untiltonight as lost too 
161,0,is alone downstairsworking 
162,0,i feel bad for doing it 
163,0,ryanseacrest is it just me or she hates anoop i mean seriously shes kinda mean to him 
164,0,pinkserendipity yes sprint has g only in baltimore and chicago so far 
165,0,im stuck awake in the middle of the night for the second day in a row and i felt terrible yesterday 
166,0,thanks for bursting my bubble 
167,0,going to school soon cant find anything to wear gosh its so hard 
168,0,marieclr i was serious lol
169,0,naughtyhaughty i had on my page for sooooo long until it got deleted sad day in history
170,0,crazy wind today no birding httpffimxtti
171,0,currently at work 
172,0,grrr my ipods acting weird too jai ho and thinking of you arent playing the full songs ughh 
173,0,penndbad send me the dvd cos i have missed out on heaps not happy about that
174,0,i dont see the big deal with this website 
175,0,machineplay im so sorry youre having to go through this again therapyfail
176,0,colindemar far too out of the way for rail any other tips
177,0,im not still up i swear why do i keep losing gaining losing gaining tweeps so heart wrenching
178,0,today i realized i am too good at hiding things even i cant find it 
179,0,staying at a friends househouse sitting neighbors are so loudhaving a party 
180,0,dannyvegasbaby danny im upset that i wasnt here to watch the live chat i was in a car for hours on a trip im soooo upset
181,0,check out my mug httpwwwerikaobscurablogspotcom
182,0,borders closed at 
183,0,downloading nins new album quotthe slipquot when the hell did this come out im so behind the times these days 
184,0,just woke up an already have written some email ive to go early at university today as i have to teach at am 
185,0,is watching the hill and its making me sad 
186,0,so many channels yet so so boring lazy day again may have to find a hobby
187,0,supersport i miss my buddy ill be in ny on the th
188,0,robluketic love the french i tell people here in the south im qtr french and they snarl at me french are beautiful people
189,0,opps as i said i still got one day remain and now problem come 
190,0,i activated my selfcontrol block early meaning i cant check out the new qc regularizing my internal clock is might be difficult fb
191,0,hillydop oh no
192,0,spencer is not a good guy 
193,0,goodlaura what about reese dying on ttsc and season finale next week boring madame president is a crazy woman
194,0,jonathanrknight i hate the limited letterstoohope you and the guys are finei pray for my dogshes not well 
195,0,didnt get shit done today im so screwed 
196,0,wanttss to go out 
197,0,is not going to sleep tonite 
198,0,too worried and tired to post tonight 
199,0,couldnt get shit done today im so screwed 
200,0,job interview in cardiff today wish me luck got about hours sleep 
201,0,stustone your show is whack way worse than whack its wiggetywhack 
202,0,djalizay i really dont think people choose to be that way but i think he chose not to accept my familys help he might be dead by now
203,0,eloquentembrace youre going to kill me but ive not seen ds ive been waiting till i can do it in one solid week sitting 
204,0,cheechbud i think ur right hahaha hrs now 
205,0,i hate to see the spartans so sad 
206,0,my mind and body are severely protesting this quotgetting upquot thing had nightmares to boot 
207,0,mysteezradio im goin to follow u since u didnt lol go angels
208,0,mandayyy 
209,0,twista i think i want to read some books but the library doesnt have them 
210,0,my nap was interrupted so many times today going out for japanese with the rents again
211,0,kind of longs for the bus that shows up at the end of ghost world right now ugh 
212,0,gurumn but this is canada canada is weird were supposed to get snow through wednesday ugh
213,0,awwh babs you look so sad underneith that shop entrance of quotyesterdays musikquot o i like the look of the new transformer movie 
214,0,sad that the feet of my macbook just fell off 
215,0,im gonna get up late tomorrow and its am here i gonna get tipsy by my lonesome thatsthats just sad 
216,0,im sweating my forthcoming trip to e if i cant find someone to crash with while im out there i may be screwed 
217,0,has now gotten somebody to read his tweets but cant get them to make an account 
218,0,infinitydefines omgawd i couldnt handle my cat being in heat all the time d d
219,0,donniewahlberg i hope i can make it to the auburn show but its not looking good for me 
220,0,davidhenrie thats people mag haha i couldnt fit it all in i dont think those pictures ever made it in the magazine tho haha
221,0,breadandbadger congrats i totally forgot to submit photos 
222,0,paulaabdul awww good luck paula please dont work too hard but i hope you have fun your new album is gonna be amazing xxx
223,0,imaginarypeach now your leaving me gets sad
224,0,i miss you twitter my phone broke now im using a stupid nokia phone ughhh i miss my advance phone 
225,0,shooting outside my house o not kidding so scared 
226,0,tuesdayll start with reflection n then a lecture in stress reducing techniques that sure might become very useful for us accompaniers 
227,0,what tragedy and disaster in the news this week 
228,0,yes yes still trying to find a picture that will upload correclty 
229,0,why oh why was the red sox game rained out i was so looking forward to opening day 
230,0,i still cant find my keys 
231,0,charlietm i know right i dunno what is going on with twitter 
232,0,might be getting a sore throat again 
233,0,labelsnotlove my home town my mammy called all depressd pls explain y a parent let their yr old child walk alone hello its 
234,0,ircmaxell i think i need to find better antidepressants i think this paxilwellbutrin combo is losing its efficacy 
235,0,myconnecticut restaurant called woodntap has competitive eating tourney round tourney time we place nd 
236,0,is in the bathroom wake up lakin 
237,0,caitlinoconnor i want tacos and margarhitas telll gay i say hellolt
238,0,im lonely keep me company female california
239,0,bad day at the betfair office 
240,0,i miss him cant wait to celebrate the tar heel win this weekend though
241,0,im really cold i dont want to go to sleep yet but theres nothing to do 
242,0,kristencampisi is this it u its officially over me this go round 
243,0,monkeys i just found out you my twin and you wont even write back im heartbroken
244,0,missom aww i know i felt like that yesterday at work 
245,0,sarahreedsc treaty isnt defined 
246,0,missed brent at praise band no fun to not have the your lead guitarist ltpoutgt
247,0,jpfurry poor john this is what happens when you play with fruit and a microwave seriously though have you seen a doctor xxx
248,0,missing my bff watching home and away it reminds me of her and me we lt it shout out to u courts
249,0,mandayyy 
250,0,new video card is doa 
251,0,feeling lost naked and confused jk sort ofno iphone for me 
252,0,damn i am so late at filling this appraisal form people have almost sent it i was so occupied in work 
253,0,missed brent at praise band no fun to not have your lead guitarist ltpoutgt
254,0,i think to much on the past i cant change it i deserved so much more then wat i got but why am i still thinking about him gah
255,0,has lost his ring its nowhere to be seen 
256,0,burgaw ooooooh sealclap see i download shitloads of zip folders off chan i have no internet moneys fuck yeah alicia amp mikey
257,0,is still nursing my nile but glad he is feeling better i hate when my baby is sick 
258,0,is fucked to go back to ic 
259,0,brandizzzle yoyoyo my internet has been rude tonight it just reconnected and im about to go to bed 
260,0,jemcam well i have uni stuff and netball but after netbal if ive done uni stuff we can
261,0,kissability me too i is poor 
262,0,help me forget th april amp th july 
263,0,dierks bentley is comin to columbus oh i wanna go so bad 
264,0,i have to take my sidekick back 
265,0,chriscantore congrats im totally jealous only wish my xm was working 
266,0,grt my face is very itchy 
267,0,poor socks luvvvvv the golden retriever i want one sighhhh
268,0,i just saw that they found that tracy girl in a piece of luggage how fucking terrible 
269,0,aaaaand the nausea is back 
270,0,donniewahlberg ooh im excited and not even going be there long love youtube
271,0,spent hour to reach to axis bank only to find out today is holiday for mahavir jayanti contd
272,0,mathewsmichael i agree the jobros dont update theres very often 
273,0,fishmouse it is hilarious and i linked the clip from lj some time ago but when i went back just now it was a dead link 
274,0,diannepulham oooooooo who with im not neither but thats because i need to study 
275,0,havent tweeted nearly all day posted my website tonight hopefully that goes well night time
276,0,bostongarden i miss bentley 
277,0,seriously needs to finish these job applications 
278,0,my son vincas is sick so i stay at home just three tense days at work and i am back on holiday with kids
279,0,whinging my clientampboss dont understand english well rewrote some text unreadable its written by v good writerampreviewed correctly 
280,0,huntermoore i dont want him to ever punch me 
281,0,sooo sick of the snow ughh
282,0,itsnemesis 
283,0,lovemeagan it doesnt work your fan is upset 
284,0,i would like to apologize for the repeated video games live related tweets i am going to have a stern discussion with koodo soon stern 
285,0,zaydia but i cant figure out how to get there back pay for a hotel etc 
286,0,fml so much for seniority bc of technological ineptness i now have to quotregisterquot for classes again 
287,0,feels like she slept the day away not looking forward to any more bouts with my gallbladder at least i have pills now for the pain
288,0,thastevieg but what i really want is my old bass back 
289,0,mad tired today callin it in early tonight nighty night twittas
290,0,levenrambin take it easy and be good to you 
291,0,im afraid i had bad code 
292,0,think im going to bed goodniight i hate this 
293,0,riancurtis im here friend and i love you
294,0,kariajay all this time you didnt notice i was gonejust needed db is it
295,0,aaronrva is in the bathroom and i have to pee 
296,0,ashleyskyy but i wanted a margarita too 
297,0,kourtneykardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night its tough
298,0,just called hillsong again they said they couldnt tell me where i was on the waiting list i dont know if its looking so good 
299,0,has g of milky bar left and around ml of coke 
300,0,jokerrrr it stillllll hasnt arrived 
301,0,mraow i feel like dancing but first art school wants to rape me some more 
